time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.043910980,0.008628845,-0.005560875,0.007477760,0.000575066,-0.008628845,0.027526855,0.015563965,0.026184082,-0.077209473,-0.016616821,0.026687622,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,-0.019859314,-0.681838989,0.085033417,0.069541931,0.006391525,-0.011426926,0.008041382,-0.568550110,0.088457108,-0.030349731,0.013885498,0.039947510,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.027900696,0.113288879,0.003423691,-0.099891663,0.007493973,0.051374435,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009687901,-0.043527603,0.008245468,-0.005560875,0.007477760,0.000191689,-0.008628845,-0.081237793,-0.039979935,0.036926270,-0.036926270,0.023666382,0.053878784,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,0.081237793,-0.377283096,0.074291229,0.029258728,-0.011833191,-0.025022507,-0.029312134,-0.572212219,0.143449783,-0.021011353,-0.012176514,0.043365479,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.110549927,-0.194929123,0.069158554,-0.050270081,-0.000343323,0.068387985,-0.069225311,-0.154109001,0.032867432,0.024810791,-0.003918648,0.008506775,0.000000000
0.019789219,-0.043527603,0.008628845,-0.005560875,0.007477760,0.000575066,-0.008628845,0.070495605,0.085756302,0.007385254,-0.049011230,0.027694702,0.067977905,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,-0.070495605,-1.032800674,0.103832245,0.041343689,-0.015764236,-0.032072067,0.036575317,-0.663768768,0.126329422,0.015304565,-0.022857666,0.043365479,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.107070923,0.369031906,0.022497177,-0.026039124,-0.007093430,0.075437546,0.098930359,0.273234685,-0.009195964,0.032694499,-0.007112503,0.010370890,0.000000000
0.029693842,-0.043910980,0.008628845,-0.005560875,0.007477760,0.000191689,-0.008628845,0.019470215,0.061340332,0.000671387,0.026184082,0.061935425,0.020645142,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,-0.011802673,-0.910720825,0.110546112,-0.033851624,-0.030967712,-0.008405685,0.038131714,-0.630809784,0.128404617,0.019973755,-0.033967018,-0.005340576,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.049934387,0.279911041,0.017858505,0.053825378,-0.002999306,0.003065109,0.031345367,0.138085365,-0.010375977,0.084419250,-0.002263784,-0.046501160,0.000000000
0.039697409,-0.043527603,0.008245468,-0.005560875,0.007477760,0.000191689,-0.008628845,-0.057067871,-0.121767044,-0.112125397,0.074523926,-0.010574341,-0.054885864,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,0.057067871,0.031652451,0.223342896,-0.082191467,0.005287170,0.029359818,0.116991043,-0.520942688,0.152788162,0.013748169,0.010040283,0.006622314,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.059923172,-0.552595139,-0.070554733,0.095939636,0.004753113,-0.022737503,0.033067322,-0.555536652,-0.079031372,0.101226807,0.004390907,-0.057843018,0.000000000
0.049693584,-0.043527603,0.008245468,-0.005560875,0.007477760,0.000191689,-0.008628845,0.012756348,-0.005798340,0.018127441,0.121520996,-0.016616821,0.041793823,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,-0.012756348,-0.548191071,0.093090057,-0.129188538,0.008308411,-0.018980026,0.018417358,-0.621654510,0.129442215,0.000778198,-0.019866943,0.018585205,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.031173706,-0.073463440,0.036352158,0.129966736,-0.028175354,0.037565231,0.003598213,-0.063670794,0.023229599,0.112711589,-0.023781300,0.002049764,0.000000000
0.059728622,-0.043527603,0.008245468,-0.005560875,0.007477760,0.000191689,-0.008628845,-0.027526855,-0.003967285,-0.007385254,0.113464355,0.030715942,0.067977905,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,0.027526855,-0.557346344,0.118602753,-0.121131897,-0.015357971,-0.032072067,-0.019454956,-0.553901672,0.101945877,0.091051102,0.012176514,-0.006195068,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.046981812,0.003444672,-0.016656876,0.212182999,0.027534485,0.025876999,-0.063906261,0.011346272,-0.025525229,0.167081015,0.027367319,-0.008261544,0.000000000
0.069698811,-0.043527603,0.008245468,-0.005944252,0.007477760,0.000191689,-0.008628845,0.027526855,-0.033264160,-0.136295319,0.118835449,-0.011581421,-0.024673462,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,-0.027526855,-0.410861969,0.255180359,-0.126502991,0.005790710,0.014253616,-0.036577225,-0.608837128,0.134630203,0.019454956,0.022857666,0.001068115,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.009050369,-0.197975159,-0.120550156,0.145957947,0.017066956,-0.013185501,-0.022727966,-0.166314363,-0.113241196,0.088248968,0.014787316,-0.041408539,0.000000000
0.079697847,-0.043527603,0.008245468,-0.005944252,0.007477760,0.000191689,-0.008628845,-0.018127441,0.020446777,-0.126895905,-0.011413574,-0.023666382,0.035751343,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,0.018127441,-0.679416656,0.245780945,0.003746033,0.011833191,-0.015958786,0.089494705,-0.515449524,0.113359451,0.008041382,-0.006622314,-0.010467529,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.071367264,0.163967133,-0.132421494,0.004295349,-0.018455505,0.005491257,0.051279704,0.173891491,-0.111211141,-0.047478782,-0.018431240,-0.020206028,0.000000000
0.089696884,-0.043527603,0.008245468,-0.005944252,0.007094383,0.000575066,-0.008628845,-0.010070801,-0.055849075,-0.208805084,-0.031555176,0.015609741,0.027694702,-0.043527603,0.000000000,0.000000000,0.007094383,0.000191689,-0.008245468,0.010070801,-0.297937393,0.327690125,0.031555176,-0.009721756,-0.011930466,-0.090532303,-0.601512909,0.104021072,-0.000259399,0.005340576,0.009185791,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,20.000000000,70.000000000,20.000000000,20.000000000,5.000000000,5.000000000,1.000000000,5.000000000,1.000000000,1.000000000,0.500000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.100603104,-0.303575516,-0.223669052,-0.031814575,0.015062332,0.021116257,-0.108621597,-0.264286041,-0.182212830,-0.075229836,0.013577938,-0.004122925,0.000000000
