time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6
0.000000000,0.021667480,-0.542845726,-1.304862976,0.002876282,-0.025119781,0.028570175,-0.129581451,-0.057069778,0.069152832,-0.016784668,0.030715942,-0.065967560,0.021284103,-0.623320997,-1.366965175,0.003643036,-0.027804375,0.028570175,0.062500234,13.752379893,-6.531361797,-1.078010440,0.666992843,0.034783332,-0.004409790,13.750511169,-6.530479431,-1.131258011,0.694070816,-0.015594482,0.000009771,14.441286087,-5.962226868,-1.091003299,0.698458374,0.001799552,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.121504106,-0.034157656,0.000000000,0.000000000,0.000000000,-0.066910024,-0.001868723,0.000882366,-0.053247571,0.027077973,-0.050377815,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009720325,0.021667480,-0.543229103,-1.304862976,0.003259659,-0.025503159,0.028570175,0.065124512,-0.183412552,-0.030212402,0.082580566,-0.010574341,-0.005538940,0.021284103,-0.624292016,-1.367231488,0.003643036,-0.027804375,0.028570175,-0.034852747,13.836173880,-6.463282068,-1.130448580,0.690220654,0.004569792,-0.007522583,13.704734802,-6.535667419,-1.139558792,0.682107925,-0.002349854,0.000009771,14.441719055,-5.962636471,-1.091458559,0.698740780,0.001800322,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.122043796,-0.032637402,0.000000000,0.000000000,0.000000000,0.027330164,-0.131439078,-0.072385351,-0.009110212,-0.008112729,-0.006919645,0.047120094,-0.064785177,-0.036633859,0.022068679,-0.017595351,0.021729085
0.019733906,0.021667480,-0.542845726,-1.304862976,0.003259659,-0.025503159,0.028570175,-0.122867584,-0.060121536,0.028869629,0.110778809,-0.007553101,-0.042800903,0.021284103,-0.625764430,-1.367610097,0.003643036,-0.027804375,0.028570175,0.059143301,13.736824586,-6.503393551,-1.143810034,0.688420892,0.023199986,-0.004409790,13.662620544,-6.503501892,-1.132814407,0.671426773,0.016876221,0.000009771,14.444080353,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.122844592,-0.030340463,0.000000000,0.000000000,0.000000000,-0.063553091,-0.074204042,-0.000108341,0.010995626,-0.016994119,-0.006323765,-0.029175441,-0.005033427,0.023762101,0.028116345,-0.017651161,0.014883310
0.029705048,0.021667480,-0.542845726,-1.304862976,0.003259659,-0.025503159,0.028570175,0.028869629,-0.021667480,-0.073181152,-0.011413574,-0.001510620,-0.005538940,0.021284103,-0.626748979,-1.367846727,0.003643036,-0.027804375,0.028570175,-0.016725306,13.701663641,-6.432779713,-1.082713842,0.685399652,0.004569005,0.010635376,13.673606873,-6.512321472,-1.166018486,0.680826187,-0.004913330,0.000009771,14.444080353,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.123368464,-0.028809983,0.000000000,0.000000000,0.000000000,0.027360682,-0.028056768,-0.079541759,-0.083304644,-0.004573464,-0.009482335,0.046303749,0.030835385,-0.041753488,-0.049637944,-0.003922880,0.008793555
0.039720535,0.021667480,-0.542845726,-1.304862976,0.002876282,-0.025503159,0.028570175,0.038269043,0.022888184,0.215518951,-0.046325684,-0.014602661,-0.005538940,0.021284103,-0.628233135,-1.368178368,0.003643036,-0.027804375,0.028570175,-0.021425013,13.658060739,-6.635913684,-1.062957525,0.691945672,0.004569005,-0.002853394,13.690086365,-6.472373009,-1.142671585,0.697916031,-0.009185791,0.000009771,14.444080353,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.124140881,-0.026511097,0.000000000,0.000000000,0.000000000,0.018571619,0.032025625,0.163540675,-0.079714060,0.005970359,-0.013754796,0.030011749,0.072734222,0.161063157,-0.036837888,0.005296755,0.003616876
0.049724102,0.021667480,-0.543229103,-1.305246353,0.002876282,-0.025503159,0.028570175,-0.028869629,-0.017395020,-0.022155762,-0.000671387,0.048843384,0.004531860,0.021284103,-0.629230380,-1.368384719,0.003643036,-0.027804375,0.028570175,0.012144323,13.680992788,-6.467047758,-1.085784674,0.660222650,-0.000466396,0.002334595,13.658958435,-6.555382729,-1.137483597,0.699625015,-0.007904053,0.000009771,14.444080353,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.124648377,-0.024971921,0.000000000,0.000000000,0.000000000,-0.009809728,-0.022034353,-0.088334971,-0.051698923,0.039402366,-0.007437657,0.001358668,0.015561870,-0.075677074,-0.007352293,0.032273968,0.008278345
0.059726477,0.021667480,-0.543229103,-1.304862976,0.002876282,-0.025503159,0.028570175,-0.050354004,-0.035095215,0.016784668,-0.038269043,0.032730103,-0.006546021,0.021284103,-0.630728602,-1.368670225,0.003643036,-0.027804375,0.028570175,0.022886510,13.680442428,-6.497634089,-1.066530347,0.667996824,0.005071775,0.005447388,13.666282654,-6.552788734,-1.128664017,0.730388641,-0.001068115,0.000009771,14.443647385,-5.959559441,-1.090265393,0.698169172,0.001798765,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.125393733,-0.022667699,0.000000000,0.000000000,0.000000000,-0.017439123,-0.014159774,-0.055154645,-0.062133670,0.062391818,-0.006139890,-0.005374908,0.020088385,-0.036425784,-0.015246034,0.047368646,0.008208096
0.069677114,0.021667480,-0.543229103,-1.304862976,0.002876282,-0.025503159,0.028570175,0.063781738,0.010070801,0.004699707,-0.000671387,0.042800903,0.029708862,0.021284103,-0.631733119,-1.368845344,0.003643036,-0.027804375,0.028570175,-0.034181361,13.638250935,-6.492320815,-1.086240053,0.663526297,-0.013054127,-0.015304565,13.701072693,-6.482749939,-1.122957230,0.683816910,-0.014739990,0.000009771,14.441450119,-5.962382317,-1.091176271,0.698734045,0.001800304,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.125882134,-0.021128234,0.000000000,0.000000000,0.000000000,0.018876795,0.062821758,0.009570876,-0.036717176,0.020290613,-0.001685863,0.027073383,0.084936177,0.024762270,0.008899152,0.004609011,0.011079358
0.079734802,0.021667480,-0.543229103,-1.304862976,0.002876282,-0.025503159,0.028570175,-0.101383209,0.039978027,-0.113468170,-0.136295319,0.025680542,0.004531860,0.021284103,-0.633249581,-1.369085193,0.003643036,-0.027804375,0.028570175,0.048401113,13.607310194,-6.407488315,-1.017972708,0.671804070,-0.000466396,-0.000259399,13.717552185,-6.561089516,-1.150453568,0.665445328,0.010040283,0.000009771,14.444080353,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.126602456,-0.018812543,0.000000000,0.000000000,0.000000000,-0.048660513,0.110241991,-0.153601200,-0.132480860,-0.006358743,0.010506679,-0.035967933,0.117650142,-0.123030939,-0.077212916,-0.019591418,0.020686133
0.089700937,0.021667480,-0.543229103,-1.304862976,0.002876282,-0.025503159,0.028570175,-0.011413574,0.024719238,-0.019470215,-0.078552246,0.012588501,0.005538940,0.021284103,-0.634264052,-1.369229436,0.003643036,-0.027804375,0.028570175,0.003416296,13.609546142,-6.473360309,-1.046844244,0.678350091,-0.000969936,-0.008041382,13.664451599,-6.517509460,-1.150453568,0.661600113,-0.010467529,0.000009771,14.444080353,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.127073079,-0.017268943,0.000000000,0.000000000,0.000000000,-0.011457677,0.054905457,-0.044149152,-0.103609324,-0.016749978,-0.009497594,0.001111412,0.056082248,-0.012221001,-0.043507242,-0.026984388,0.000613675
0.099722147,0.021667480,-0.543229103,-1.304862976,0.002876282,-0.025119781,0.028570175,-0.049011230,0.061340332,0.116149902,-0.082580566,-0.016616821,0.020645142,0.021284103,-0.635792434,-1.369422674,0.003643036,-0.027804375,0.028570175,0.022215124,13.571467727,-6.568472353,-1.045112491,0.690659225,-0.008523018,0.008041382,13.651634216,-6.512321472,-1.170687675,0.654764175,-0.004913330,0.000009771,14.444348335,-5.960223675,-1.091003299,0.698458374,0.001799552,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.127765328,-0.014951661,0.000000000,0.000000000,0.000000000,-0.014173742,0.080166490,0.056150880,-0.125575185,-0.035895050,0.003609688,-0.001458775,0.073948437,0.080071846,-0.059521003,-0.041935872,0.012473597
0.109960079,0.021667480,-0.543229103,-1.305246353,0.003259659,-0.025503159,0.028570175,-0.043640137,0.086366653,0.165832520,0.137634277,-0.000503540,-0.076038361,0.021284103,-0.637329102,-1.369588137,0.003643036,-0.027804375,0.028570175,0.019529577,13.540750776,-6.599472872,-1.157064795,0.684620380,0.039817963,0.015823364,13.642478943,-6.530479431,-1.154603958,0.702188492,0.004058838,0.000009771,14.443916321,-5.959813595,-1.090547919,0.698175907,0.001798783,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.128441289,-0.012631781,0.000000000,0.000000000,0.000000000,-0.003706213,0.101728167,0.068993440,0.002460837,0.017568111,-0.035759125,0.008258025,0.087550938,0.085171539,0.062805434,0.010566682,-0.024653949
0.119721413,0.021667480,-0.543612480,-1.305246353,0.002876282,-0.025503159,0.028570175,0.044982910,0.083314896,-0.065124512,0.031555176,-0.045822144,-0.056900024,0.021284103,-0.638359666,-1.369683146,0.003643036,-0.027804375,0.028570175,-0.024781946,13.542739565,-6.437633770,-1.101897955,0.707555413,0.030249547,0.016860962,13.611351013,-6.487419128,-1.146303177,0.692789078,0.010894775,0.000009771,14.449255943,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.128883526,-0.011081515,0.000000000,0.000000000,0.000000000,0.041642908,0.068611448,-0.049785358,-0.044405222,-0.014766335,-0.019354771,0.049483519,0.050246971,-0.031022086,0.014713269,-0.020093322,-0.007615011
0.129755259,0.021667480,-0.543612480,-1.305246353,0.003259659,-0.025119781,0.028570175,-0.078552246,-0.121156693,-0.027526855,0.057067871,-0.004531860,0.072006226,0.021284103,-0.639392138,-1.369765520,0.003643036,-0.027804375,0.028570175,0.036985632,13.674244663,-6.465530300,-1.116954565,0.684610009,-0.034203578,-0.004928589,13.593040466,-6.464072227,-1.126588821,0.716289520,-0.011322021,0.000009771,14.446194649,-5.961972713,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.129317731,-0.009532928,0.000000000,0.000000000,0.000000000,-0.041914221,-0.081204197,0.001458072,-0.009634256,0.031679511,0.022881557,-0.031639780,-0.092456626,0.018776963,0.045949646,0.024470202,0.032148366
0.139718294,0.021667480,-0.543612480,-1.305246353,0.002876282,-0.025503159,0.028570175,0.038269043,-0.079652786,0.124206543,-0.091983795,0.016616821,0.031723022,0.021284103,-0.640946209,-1.369865894,0.003643036,-0.027804375,0.028570175,-0.021425013,13.635374679,-6.568917632,-1.040128469,0.676335931,-0.014061977,-0.027755737,13.633323669,-6.520103455,-1.140596390,0.679971695,-0.004913330,0.000009771,14.449255943,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.129954830,-0.007210291,0.000000000,0.000000000,0.000000000,-0.006330725,-0.002051010,0.048814178,-0.100467920,0.003635764,0.009148647,0.003680801,-0.012416543,0.061724197,-0.041891750,-0.003335309,0.017187759
0.149910450,0.021667480,-0.543612480,-1.305246353,0.002876282,-0.025503159,0.028570175,-0.157779694,-0.107728958,0.074523926,-0.094669342,-0.006546021,-0.004531860,0.021284103,-0.642509103,-1.369938493,0.003643036,-0.027804375,0.028570175,0.076599356,13.642090127,-6.533092545,-1.038785696,0.687917352,0.004065465,-0.013229370,13.583885193,-6.562645912,-1.155122757,0.670999527,0.007904053,0.000009771,14.449255943,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.130575866,-0.004884514,0.000000000,0.000000000,0.000000000,-0.089828726,-0.058204934,-0.029553367,-0.116337061,-0.016917825,0.003838588,-0.074828625,-0.064284813,-0.015603139,-0.054150835,-0.022395842,0.011135344
0.159719229,0.021667480,-0.543612480,-1.305246353,0.002876282,-0.025503159,0.028570175,0.031555176,-0.124208450,-0.093326569,-0.144351959,-0.037765503,0.040786743,0.021284103,-0.643556774,-1.369971395,0.003643036,-0.027804375,0.028570175,-0.018068079,13.644960645,-6.414773030,-1.013944387,0.703527093,-0.018593837,-0.002853394,13.572898865,-6.523735046,-1.125032425,0.681253433,-0.002777100,0.000009771,14.449255943,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.130981237,-0.003331107,0.000000000,0.000000000,0.000000000,0.015214686,-0.072061780,-0.108962017,-0.111088037,-0.022273660,0.015816738,0.028437446,-0.073545091,-0.089422859,-0.046025234,-0.026119225,0.021753876
0.169993401,0.021667480,-0.543612480,-1.305246353,0.002876282,-0.025503159,0.028570175,-0.031555176,0.013122559,0.067810059,-0.065124512,-0.032730103,-0.054885864,0.021284103,-0.645132720,-1.369997382,0.003643036,-0.027804375,0.028570175,0.013487097,13.535805948,-6.526146880,-1.053558111,0.701009393,0.029242467,0.013229370,13.545433044,-6.509208679,-1.122957230,0.651773453,0.001495361,0.000009771,14.449255943,-5.959969521,-1.090720892,0.698451638,0.001799534,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.131574690,-0.001002981,0.000000000,0.000000000,0.000000000,-0.000257727,0.009627096,0.016938200,-0.069399118,-0.049235940,-0.027747105,0.012244754,0.007691353,0.034450838,-0.004095409,-0.050132533,-0.020598302
0.179718733,0.021667480,-0.543995857,-1.305246353,0.002876282,-0.025503159,0.028570175,0.078552246,0.042419434,0.102722168,-0.133609772,0.032730103,0.012588501,0.021284103,-0.646186173,-1.369999170,0.003643036,-0.027804375,0.028570175,-0.041566614,13.511861811,-6.546689921,-1.018404245,0.667714238,-0.004496256,-0.005966187,13.538108826,-6.501426697,-1.133852005,0.688943863,0.000640869,0.000009771,14.451450348,-5.957145214,-1.089809656,0.697886586,0.001797995,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.131960586,0.000547638,0.000000000,0.000000000,0.000000000,0.035600428,0.026247015,0.045263224,-0.115447760,0.021229625,0.005137125,0.045571176,0.023031731,0.059471869,-0.047504889,0.019262872,0.011639300
