time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6
0.000000000,0.015531540,-0.720023155,-1.333241463,-0.001726151,-0.026653290,0.029721260,-0.117496490,0.032043457,0.062438965,-0.027526855,-0.006546021,0.011581421,0.015914917,-0.878313303,-1.240732193,-0.000958443,-0.028187752,0.027803421,0.060483035,14.750686086,-4.400046071,-0.891544998,0.582327127,-0.012929449,-0.000259399,14.722816467,-4.424643517,-0.950193405,0.588540077,-0.028412819,0.000009593,15.643180847,-4.970968723,-0.908763111,0.585959196,0.001491537,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.113823637,0.085106157,0.000000000,0.000000000,0.000000000,-0.060742435,-0.027869618,-0.024597446,-0.058648407,0.006212950,-0.015483370,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009665728,0.015914917,-0.720023155,-1.333241463,-0.001341820,-0.026653290,0.029721260,0.161804199,-0.018615723,-0.110782623,-0.035583496,-0.012588501,0.036758423,0.015914917,-0.877398014,-1.240053773,-0.000958443,-0.028187752,0.027803421,-0.080892507,14.793204732,-4.274592450,-0.889246166,0.585348368,-0.025517950,0.012710571,14.731971741,-4.438132286,-0.946561813,0.570168495,0.004486084,0.000009593,15.643180847,-4.970968723,-0.908763111,0.585959196,0.001491537,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.116060048,0.085289001,0.000000000,0.000000000,0.000000000,0.093603078,-0.061232991,-0.163539836,-0.057315648,-0.015179873,0.030004034,0.077172756,-0.016681686,-0.069471195,0.000666380,-0.010696411,0.022743702
0.019658566,0.015914917,-0.720023155,-1.333241463,-0.001341820,-0.026653290,0.029721260,0.059753418,-0.016174316,-0.026184082,0.059753418,0.023666382,-0.048843384,0.015914917,-0.875978827,-1.239024162,-0.000958443,-0.028187752,0.027803421,-0.029867116,14.803550456,-4.324259792,-0.935891509,0.566584349,0.017281229,0.004409790,14.777755737,-4.433981895,-0.944486618,0.583413124,0.009185791,0.000009593,15.644366264,-4.967784405,-0.907739997,0.585322618,0.001489813,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.119423151,0.085559934,0.000000000,0.000000000,0.000000000,0.034276906,-0.025794719,-0.109722103,-0.008595109,0.016828775,-0.008095438,0.011897723,0.012504391,-0.010435642,0.032924612,0.014208158,-0.010237180
0.029693365,0.015914917,-0.720023155,-1.333241463,-0.001341820,-0.026653290,0.029721260,-0.036926270,0.102846146,0.124206543,-0.003356934,-0.031723022,0.038772583,0.015914917,-0.875017822,-1.238341212,-0.000958443,-0.028187752,0.027803421,0.018472728,14.726363578,-4.428497107,-0.905359447,0.594915628,-0.026525030,-0.003890991,14.763099670,-4.436575890,-0.974060059,0.551796913,-0.025848389,0.000009593,15.643180847,-4.970968723,-0.908763111,0.585959196,0.001491537,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.121632904,0.085735276,0.000000000,0.000000000,0.000000000,-0.022363719,0.036736092,-0.008078783,-0.068700612,-0.043118715,0.000676641,-0.033557177,0.056276401,0.068405759,-0.020385668,-0.034304500,-0.001098825
0.039651632,0.015914917,-0.719639778,-1.332858086,-0.001341820,-0.026653290,0.029336929,-0.008728027,-0.068056107,-0.058410645,-0.065124512,0.040786743,-0.059921265,0.015914917,-0.873541176,-1.237312794,-0.000958443,-0.028187752,0.027803421,0.004373607,14.851986898,-4.293890362,-0.873963952,0.558342874,0.024551385,0.018936157,14.796066284,-4.418417931,-0.944486618,0.569314003,-0.008331299,0.000009593,15.640305519,-4.968244553,-0.908251405,0.585641325,0.001491540,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.124929279,0.085992843,0.000000000,0.000000000,0.000000000,0.014562551,-0.055920613,-0.124527569,-0.070522666,0.010971129,-0.032882684,0.002695274,-0.029104243,-0.038434421,-0.017766178,0.015828276,-0.027726520
0.049659967,0.015531540,-0.719639778,-1.332858086,-0.001341820,-0.026653290,0.029336929,0.038269043,-0.093080521,-0.063781738,0.050354004,0.021652222,-0.073017120,0.015914917,-0.872530818,-1.236622691,-0.000958443,-0.028187752,0.027803421,-0.017399732,14.876612275,-4.285410943,-0.931190908,0.567591429,0.031098450,0.019973755,14.863815308,-4.400259018,-0.952787399,0.591958046,-0.009185791,0.000009593,15.639818192,-4.967783451,-0.907739103,0.585322618,0.001490677,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.127119943,0.086161323,0.000000000,0.000000000,0.000000000,0.037373487,-0.012796967,-0.114848075,-0.021596491,0.024366617,-0.040284241,0.021255175,0.011682836,-0.023962439,0.025966664,0.024353137,-0.029273398
0.059655428,0.015531540,-0.719639778,-1.332474709,-0.001726151,-0.026653290,0.029336929,-0.083923340,-0.013732910,0.030212402,-0.073181152,0.022659302,0.002517700,0.015914917,-0.870988727,-1.235589266,-0.000958443,-0.028187752,0.027803421,0.043696460,14.830207664,-4.344871855,-0.867695153,0.567088664,-0.006668959,-0.011672974,14.891281128,-4.416342735,-0.941373825,0.623575211,-0.012603760,0.000009593,15.637430191,-4.965520859,-0.907740414,0.585323393,0.001490679,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.130368754,0.086407185,0.000000000,0.000000000,0.000000000,-0.055369433,0.061073464,-0.071470880,-0.073678672,0.056486547,-0.005934801,-0.061275210,0.073331372,0.016641219,-0.022384729,0.048405485,0.004350893
0.069697380,0.015531540,-0.719256401,-1.332474709,-0.001341820,-0.026653290,0.029336929,-0.106754303,0.035095215,-0.023498535,-0.046325684,0.057907104,0.000503540,0.015914917,-0.869922698,-1.234887838,-0.000958443,-0.028187752,0.027803421,0.055111924,14.799492717,-4.305215470,-0.882851958,0.549463987,-0.005662744,-0.018417358,14.883956909,-4.409078598,-0.935148239,0.577004433,0.013458252,0.000009576,15.635271072,-4.967784405,-0.907739997,0.585322618,0.001489813,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.132551536,0.086569630,0.000000000,0.000000000,0.000000000,-0.073529283,0.084464192,-0.103863128,-0.052296281,0.027540445,0.019120996,-0.069505677,0.084631837,-0.013782151,-0.000877045,0.017026961,0.025730854
0.079672575,0.015531540,-0.718873024,-1.332474709,-0.001341820,-0.026653290,0.029721260,0.007385254,0.020446777,0.137634277,0.063781738,0.028701782,0.014602661,0.015914917,-0.868326366,-1.233856320,-0.000958443,-0.028187752,0.027803421,-0.001957837,14.819735481,-4.412116704,-0.938417077,0.564385355,-0.014440066,-0.003890991,14.922409058,-4.404409409,-0.948637009,0.602212906,-0.007049561,0.000009593,15.635757446,-4.968244553,-0.908251405,0.585641325,0.001491540,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.135729760,0.086802162,0.000000000,0.000000000,0.000000000,-0.001933154,0.102673577,0.007707295,-0.010219932,0.037827551,0.007390506,0.001858180,0.091414419,0.086922909,0.036621604,0.024279171,0.012444768
0.089688778,0.015914917,-0.718873024,-1.332474709,-0.001726151,-0.027037621,0.029336929,0.034240723,0.140077591,-0.051696777,-0.172550201,-0.023666382,0.012588501,0.015914917,-0.867231309,-1.233160734,-0.000958443,-0.028187752,0.027803421,-0.017110769,14.741886984,-4.277567294,-0.818520367,0.592298150,-0.011703500,-0.023086548,14.898605347,-4.375356674,-0.960050583,0.565896034,-0.010040283,0.000009593,15.633595467,-4.970507145,-0.908250153,0.585640550,0.001491538,4.500000000,6.000000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.137850776,0.086954661,0.000000000,0.000000000,0.000000000,-0.005975779,0.156718363,-0.097789381,-0.141530216,-0.026402116,0.001663217,-0.001966001,0.130913285,-0.016716390,-0.085219812,-0.035955447,0.006045731
