time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,0.035089493,-0.027804375,-0.249851227,0.022050858,-0.026269913,-0.008628845,0.057067871,0.014343262,-0.349796295,-0.039611816,0.004531860,0.030715942,0.030488014,-0.177966028,-0.254692316,0.022050858,-0.022050858,-0.008245468,-0.056133679,0.967527670,-1.893739807,-0.269133002,0.221662015,-0.012505507,-0.009597778,0.931106567,-2.146043777,-0.285083771,0.219821930,0.006622314,0.000009128,2.364324808,-1.824424028,-0.288938910,0.198613614,0.000552202,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.264948040,-0.393492103,0.000000000,0.000000000,0.000000000,0.046535901,-0.036421103,-0.252303970,-0.015950769,-0.001840085,0.019127822,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009722948,0.035089493,-0.027804375,-0.252919197,0.022050858,-0.026269913,-0.008628845,-0.054382324,0.135805130,-0.347110748,0.022155762,-0.054885864,-0.001510620,0.030488014,-0.180090159,-0.257847011,0.022050858,-0.022050858,-0.008245468,-0.000408581,0.894951921,-1.920844075,-0.304656774,0.254044741,0.003614861,0.001815796,0.920120239,-2.040726662,-0.302206039,0.222812653,-0.007904053,0.000009128,2.394737959,-1.847510219,-0.293578893,0.201287478,0.000559288,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.266337395,-0.395555526,0.000000000,0.000000000,0.000000000,0.002224377,0.025168319,-0.119882587,0.002450734,-0.031232089,-0.011518913,-0.022155762,0.030794711,0.066210692,0.009200752,-0.014696002,-0.015323367,0.000000000
0.019724131,0.035472870,-0.028187752,-0.255602837,0.022050858,-0.025886536,-0.008628845,0.022155762,0.074157715,-0.309513092,0.061096191,0.034744263,0.034744263,0.030488014,-0.183298007,-0.262611210,0.022050858,-0.022050858,-0.008245468,-0.040977883,0.949140118,-2.004895248,-0.331420958,0.211505681,-0.014500453,-0.010116577,0.975051880,-2.012191772,-0.320882797,0.197177887,0.005340576,0.000009132,2.429808140,-1.886460781,-0.300872862,0.205863744,0.000571416,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.268393695,-0.398609489,0.000000000,0.000000000,0.000000000,0.030861306,0.025911762,-0.007296525,0.010538161,-0.014327794,0.019841029,0.004320778,0.021025436,0.119197836,0.011525452,0.001472195,0.010691050,0.000000000
0.029725313,0.035089493,-0.028187752,-0.259055138,0.022050858,-0.025503159,-0.008628845,-0.022155762,0.050964355,-0.300113678,0.069152832,0.055892944,-0.058914185,0.030488014,-0.186539784,-0.267425805,0.022050858,-0.022050858,-0.008245468,-0.016521853,0.968395875,-2.047530254,-0.340082645,0.201301038,0.032335847,-0.028274536,0.989700317,-1.974319458,-0.315694809,0.256565094,0.007904053,0.000009137,2.460182190,-1.909509778,-0.305506229,0.208533704,0.000578492,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.270421445,-0.401621014,0.000000000,0.000000000,0.000000000,-0.011752683,0.021304443,0.073210796,0.024387836,0.055264056,-0.024431794,-0.028719908,0.012313587,0.149778867,0.019031346,0.053298034,-0.025186330,0.000000000
0.039723873,0.035472870,-0.028187752,-0.264039993,0.022050858,-0.025503159,-0.008628845,-0.114810944,-0.010070801,-0.485420227,0.172550201,0.037765503,0.032730103,0.030488014,-0.188701287,-0.270635992,0.022050858,-0.022050858,-0.008245468,0.027505476,1.027473298,-1.937747423,-0.398232132,0.214175135,-0.013476200,-0.028793335,0.923782349,-1.957198143,-0.320363998,0.264682770,-0.028840065,0.000009138,2.494754076,-1.942262053,-0.311957031,0.212344080,0.000588589,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.271745801,-0.403587908,0.000000000,0.000000000,0.000000000,-0.056298811,-0.103690949,-0.019450720,0.077868134,0.050507635,-0.015363865,-0.058612829,-0.090145444,0.045693881,0.058009315,0.038833290,-0.012894721,0.000000000
0.049757481,0.035089493,-0.028187752,-0.267874718,0.022050858,-0.025503159,-0.008628845,0.036926270,0.205995560,-0.254459381,0.114807129,-0.000503540,-0.034744263,0.030488014,-0.190882191,-0.273874998,0.022050858,-0.022050858,-0.008245468,-0.046062866,0.885207784,-2.121929137,-0.374213547,0.236354247,0.020269051,-0.069780350,1.011672974,-1.955122948,-0.349935532,0.215549469,-0.001495361,0.000009141,2.522102118,-1.968170762,-0.316809982,0.215388671,0.000596657,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.273059905,-0.405539572,0.000000000,0.000000000,0.000000000,-0.023717484,0.126465190,0.166806189,0.024278015,-0.020804778,-0.021764412,-0.021692919,0.116675579,0.193292326,0.003682663,-0.027065935,-0.016079390,0.000000000
0.059722900,0.035472870,-0.028187752,-0.271710396,0.022050858,-0.025886536,-0.008628845,0.008728027,0.058288574,-0.333683014,0.094665527,-0.016616821,0.036758423,0.030488014,-0.194166899,-0.278753340,0.022050858,-0.022050858,-0.008245468,-0.034264004,0.994762690,-2.108844217,-0.369824320,0.250511646,-0.015472221,-0.066667557,0.971389771,-1.889753342,-0.334890366,0.220676422,-0.001068115,0.000009144,2.555896282,-2.000186443,-0.322491556,0.219189167,0.000606728,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.274997741,-0.408417612,0.000000000,0.000000000,0.000000000,-0.032403553,-0.023372919,0.219090875,0.034933954,-0.029835224,0.014404106,-0.026039132,-0.028425025,0.210494581,0.012290231,-0.030939756,0.017219253,0.000000000
0.069722652,0.035089493,-0.028187752,-0.276312828,0.022050858,-0.025886536,-0.008628845,0.012756348,-0.124818802,-0.485420227,0.000671387,0.007553101,0.024673462,0.030488014,-0.196372136,-0.282028466,0.022050858,-0.022050858,-0.008245468,-0.033977895,1.138537707,-2.025670353,-0.328885943,0.242227018,-0.009419671,-0.016860962,1.011672974,-1.859663010,-0.337484360,0.277501106,0.011322021,0.000009150,2.590029478,-2.032523155,-0.328550249,0.222989500,0.000616798,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.276271224,-0.410308927,0.000000000,0.000000000,0.000000000,0.017116933,-0.126864733,0.166007344,-0.008598417,0.035274088,0.020741692,0.020546185,-0.115427234,0.137734669,-0.027336873,0.029898362,0.020612234,0.000000000
0.079722166,0.035472870,-0.028571129,-0.280147552,0.022050858,-0.025886536,-0.008628845,0.137634277,0.080873489,-0.400821686,0.093322754,-0.077045441,-0.057907104,0.030488014,-0.199707657,-0.286982268,0.022050858,-0.022050858,-0.008245468,-0.098717119,1.030971242,-2.153926894,-0.386104107,0.291358009,0.031888714,-0.009597778,1.084915161,-1.931777000,-0.360311508,0.270236969,0.007049561,0.000009153,2.651384115,-2.090648651,-0.339442730,0.229821220,0.000634899,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.278156012,-0.413108140,0.000000000,0.000000000,0.000000000,0.089119341,0.053943919,0.222149893,0.025792599,-0.021121040,-0.024839153,0.082265416,0.058116816,0.172335305,0.006270349,-0.023552681,-0.022194321,0.000000000
0.089723587,0.035089493,-0.028571129,-0.286283493,0.022050858,-0.026269913,-0.008628845,-0.007385254,-0.061952591,-0.439765930,-0.040954590,-0.074024200,0.036758423,0.030488014,-0.203063563,-0.291966379,0.022050858,-0.022050858,-0.008245468,-0.023907088,1.135726565,-2.144829276,-0.323422045,0.295177847,-0.015436022,-0.060441971,1.020828247,-2.010635376,-0.362386703,0.261692047,-0.014739990,0.000009157,2.684301138,-2.116106749,-0.343899339,0.232851416,0.000642927,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,-0.280002743,-0.415850848,0.000000000,0.000000000,0.000000000,-0.036534883,-0.114898318,0.134193901,-0.038964659,-0.033485800,0.000696032,-0.039049927,-0.099652879,0.075941381,-0.052638218,-0.032325697,0.003006777,0.000000000
