time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.040459633,0.012846947,-0.026653290,0.015914917,-0.000191689,-0.008628845,-0.075866699,-0.032653809,-0.075866699,-0.125553131,-0.028701782,0.038772583,-0.040459633,0.016681671,-0.059404947,0.015914917,-0.000191689,-0.008628845,0.037942228,0.160460025,-0.583064245,0.025586560,0.037904847,-0.019299475,-0.015823364,0.114440918,-0.549674988,-0.027755737,0.024139404,-0.010467529,0.000008878,0.126876861,-0.312112659,-0.037190005,0.023553956,0.000086817,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.182211906,0.000000000,0.000000000,0.000000000,-0.053765592,-0.046019107,0.033389257,-0.053342298,-0.013765443,0.008831945,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009750605,-0.040459633,0.012846947,-0.027420998,0.015914917,-0.000191689,-0.008628845,0.026184082,-0.097963333,-0.091983795,-0.081237793,-0.016616821,0.031723022,-0.040459633,0.016681671,-0.061611030,0.015914917,-0.000191689,-0.008628845,-0.013083163,0.200133979,-0.590052088,0.002192307,0.032641754,-0.015771592,-0.009078979,0.136413574,-0.520622253,-0.036058426,0.038665771,-0.000640869,0.000008878,0.133896053,-0.318762422,-0.038426589,0.024333343,0.000089919,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.186483040,0.000000000,0.000000000,0.000000000,0.004004184,-0.063720405,0.069429835,-0.038250733,0.006024018,0.015130723,0.028884888,-0.008850649,0.018020289,0.007545782,0.009894731,0.003149389,0.000000000
0.019718170,-0.040459633,0.012846947,-0.029337883,0.015914917,-0.000191689,-0.008628845,-0.014099121,-0.073549271,-0.261173248,0.071838379,-0.056900024,0.001510620,-0.040459633,0.016681671,-0.063123636,0.015914917,-0.000191689,-0.008628845,0.007058437,0.198443770,-0.481170809,-0.076199859,0.053950956,-0.000662291,0.027755737,0.136413574,-0.569910049,-0.044359207,0.058748245,0.000640869,0.000008876,0.144412875,-0.328725725,-0.040280670,0.025500944,0.000093019,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.189359769,0.000000000,0.000000000,0.000000000,0.020697301,-0.062030196,-0.088739241,0.031840652,0.004797289,0.001303160,0.030385337,-0.004773627,-0.093432524,0.051758112,0.005778668,-0.007118782,0.000000000
0.029713631,-0.040843010,0.012846947,-0.030105591,0.015914917,-0.000191689,-0.008628845,-0.046325684,-0.003967285,-0.172550201,-0.018127441,-0.039779663,-0.025680542,-0.040459633,0.016681671,-0.064640366,0.015914917,-0.000191689,-0.008628845,0.024896914,0.174169123,-0.559654659,-0.033070974,0.046558341,0.012936389,-0.012191772,0.173034668,-0.600519180,-0.060960770,0.025421143,-0.008331299,0.000008875,0.154929221,-0.338688582,-0.042134695,0.026668509,0.000096118,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.192203671,0.000000000,0.000000000,0.000000000,-0.037088686,-0.001134455,-0.040864521,-0.027889796,-0.021137198,-0.021267688,-0.020550488,0.042091586,-0.034168354,-0.005979252,-0.015116865,-0.022267223,0.000000000
0.039707899,-0.040459633,0.012846947,-0.030872345,0.015914917,-0.000191689,-0.008628845,-0.028869629,0.120546341,-0.124210358,-0.110782623,-0.002517700,0.020645142,-0.040459633,0.016681671,-0.066981003,0.015914917,-0.000191689,-0.008628845,0.014443689,0.118344590,-0.612047920,0.012637082,0.028317509,-0.010225417,-0.011672974,0.193176270,-0.620233536,-0.024642944,0.016876221,-0.009613037,0.000008874,0.161361501,-0.344782323,-0.042754229,0.027058659,0.000097154,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.196515575,0.000000000,0.000000000,0.000000000,-0.026116662,0.074831679,-0.008185616,-0.037280027,-0.011441289,0.000612380,-0.007662771,0.094446176,-0.001191558,-0.012295587,-0.004336764,-0.000309724,0.000000000
0.049791574,-0.040459633,0.012846947,-0.031639099,0.015914917,-0.000191689,-0.008628845,-0.015441895,0.011901855,-0.015441895,-0.097354889,0.002517700,0.042800903,-0.040459633,0.016681671,-0.069355734,0.015914917,-0.000191689,-0.008628845,0.007729820,0.183769479,-0.711350469,0.003451295,0.027356494,-0.021299165,-0.027755737,0.174865723,-0.620752335,-0.030349731,0.017730713,0.013031006,0.000008873,0.172464147,-0.355300635,-0.045226149,0.028615344,0.000101286,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.200799078,0.000000000,0.000000000,0.000000000,-0.035485558,-0.008903757,0.090598134,-0.033801027,-0.009625781,0.034330171,-0.014193055,0.008925617,0.081326826,-0.007347155,-0.002101047,0.027840056,0.000000000
0.059737444,-0.040459633,0.012846947,-0.033556938,0.015914917,0.000191689,-0.008628845,0.106750488,0.000915527,-0.216861725,0.026184082,0.047836304,0.047836304,-0.040459633,0.016681671,-0.071791328,0.015914917,-0.000191689,-0.008628845,-0.053366373,0.203282624,-0.589756863,-0.060790002,0.004528612,-0.023812733,0.046432495,0.185852051,-0.614526749,-0.084306717,0.010040283,0.017730713,0.000008872,0.186484128,-0.368582696,-0.047697961,0.030171961,0.000105419,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.205101475,0.000000000,0.000000000,0.000000000,0.099798868,-0.017430574,-0.024769886,-0.023516715,0.005511671,0.041543446,0.103792603,0.000341828,-0.029178166,0.002517563,0.011174062,0.030045712,0.000000000
0.069733143,-0.040459633,0.013230324,-0.035090446,0.015914917,0.000191689,-0.008628845,-0.024841309,0.151063919,-0.062438965,0.053039551,0.000503540,-0.006546021,-0.040459633,0.016681671,-0.073445037,0.015914917,-0.000191689,-0.008628845,0.012429524,0.140511006,-0.713873118,-0.076690979,0.029752508,0.003382563,-0.009597778,0.184020996,-0.615045547,-0.042802811,0.022857666,0.022003174,0.000008870,0.200511903,-0.381872177,-0.050171204,0.031729475,0.000109553,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.207972392,0.000000000,0.000000000,0.000000000,-0.022027303,0.043509990,0.098827570,0.033888169,-0.006894842,0.018620611,-0.015779372,0.053622093,0.082616879,0.052432140,-0.001078395,0.006232517,0.000000000
0.079714060,-0.040459633,0.012846947,-0.035857201,0.015914917,-0.000191689,-0.008628845,0.003356934,0.011291504,-0.090641022,0.089294434,0.019638062,0.000503540,-0.040459633,0.016681671,-0.075118981,0.015914917,-0.000191689,-0.008628845,-0.001669598,0.222636089,-0.711541405,-0.096672118,0.023077805,-0.000139118,-0.004928589,0.189514160,-0.649805069,-0.057329178,0.026702881,-0.010040283,0.000008869,0.211025581,-0.391832501,-0.052024901,0.032896835,0.000112652,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.210838482,0.000000000,0.000000000,0.000000000,-0.003258991,-0.033121929,0.061736336,0.039342940,0.003625076,-0.009901165,0.002656836,-0.020453178,0.040467240,0.051455032,0.008392465,-0.019812674,0.000000000
0.089711428,-0.040459633,0.012846947,-0.037391663,0.015914917,-0.000191689,-0.008628845,0.039611816,-0.113222122,-0.094669342,-0.110782623,-0.040786743,-0.034744263,-0.040459633,0.016681671,-0.077675067,0.015914917,-0.000191689,-0.008628845,-0.019797041,0.295414746,-0.727830583,0.001511242,0.054458492,0.017487884,-0.020492554,0.198669434,-0.650323868,-0.047990799,0.042510986,-0.002349854,0.000008868,0.221547425,-0.401800573,-0.053880069,0.034065120,0.000115753,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.215140179,0.000000000,0.000000000,0.000000000,-0.000695513,-0.096745312,0.077506715,-0.049502041,-0.011947505,-0.019837738,0.004698282,-0.075668906,0.050613857,-0.033650954,-0.006462105,-0.026774322,0.000000000
