time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.106038094,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,-0.130924225,-0.010681152,-0.024841309,-0.049011230,-0.058914185,0.014602661,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,0.000006798,3.778105736,-3.759715319,-1.277743101,0.225869253,0.000526215,-0.028274536,3.789424896,-3.812451363,-1.344487190,0.233921051,0.004486084,0.000006798,3.778105736,-3.759715319,-1.277743101,0.225869253,0.000526215,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.028281334,0.011319160,-0.052736044,-0.066744089,0.008051798,0.003959869,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009162426,-0.105654716,0.011696815,-0.358381271,0.020900726,0.864219666,0.029721260,0.007385254,-0.078432083,-0.019470215,0.054382324,0.040786743,-0.020645142,-0.105654716,0.011696815,-0.358381271,0.020900726,0.864219666,0.029721260,0.000006796,3.781198740,-3.756917477,-1.277501106,0.225530386,0.000525305,-0.001815796,3.833370209,-3.828016281,-1.343449593,0.216831207,-0.001495361,0.000006796,3.781198740,-3.756917477,-1.277501106,0.225530386,0.000525305,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.001822592,0.052171469,-0.071098804,-0.065948486,-0.008699179,-0.002020667,0.013229371,0.020426154,-0.009181380,0.000397801,-0.008375488,-0.002990268,0.000000000
0.019173622,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,-0.034240723,0.100404739,-0.049011230,-0.008728027,-0.001510620,0.003524780,-0.105654716,0.012080193,-0.358381271,0.020517349,0.863836288,0.029721260,0.000006798,3.778561115,-3.760146618,-1.278222442,0.226106793,0.000526856,0.011672974,3.791255951,-3.825941086,-1.324772835,0.225803375,0.015594482,0.000006798,3.778561115,-3.760146618,-1.278222442,0.226106793,0.000526856,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.011666176,0.012694836,-0.065794468,-0.046550393,-0.000303417,0.015067626,0.017812093,-0.012700319,-0.002584696,0.013197263,0.000013515,0.009398684,0.000000000
0.029198885,-0.105654716,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,-0.028869629,0.097352982,-0.028869629,0.042297363,0.047836304,0.022659302,-0.105654716,0.011696815,-0.358381271,0.020900726,0.864219666,0.029721260,0.000006796,3.781198740,-3.756917477,-1.277501106,0.225530386,0.000525305,0.003890991,3.785762787,-3.837873459,-1.394292831,0.223667145,-0.020294189,0.000006796,3.781198740,-3.756917477,-1.277501106,0.225530386,0.000525305,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003884195,0.004564047,-0.080955982,-0.116791725,-0.001863241,-0.020819495,0.007522584,-0.015623331,-0.013309658,-0.042783052,-0.001159731,-0.019866328,0.000000000
0.039156437,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,-0.078552246,-0.071718216,0.098693848,-0.074523926,0.036758423,0.002517700,-0.105654716,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,0.000006797,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,-0.028793335,3.782100677,-3.831647873,-1.337742805,0.233921051,0.003631592,0.000006797,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.028800132,0.003769398,-0.071718931,-0.059762120,0.008153200,0.003105646,-0.020129395,-0.013134384,-0.003258085,0.011397243,0.007085368,0.003247050,0.000000000
0.049159765,-0.105654716,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,0.008728027,-0.021667480,-0.062438965,-0.030212402,-0.026687622,-0.006546021,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.030104637,0.000006798,3.778106213,-3.759715796,-1.277743816,0.225868985,0.000525238,0.002334595,3.802242279,-3.826978683,-1.301426888,0.215549469,-0.006622314,0.000006798,3.778106213,-3.759715796,-1.277743816,0.225868985,0.000525238,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.002327797,0.024136066,-0.067262888,-0.023683071,-0.010319516,-0.007147552,0.009165445,0.006026904,0.000998298,0.039563576,-0.009489457,-0.005838457,0.000000000
0.059179544,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,0.102722168,0.015563965,0.210147858,-0.065124512,-0.041793823,-0.068988800,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,0.000006798,3.778105736,-3.759715319,-1.277743101,0.225869253,0.000526215,0.015304565,3.763790131,-3.827497482,-1.359013557,0.228366852,0.005340576,0.000006798,3.778105736,-3.759715319,-1.277743101,0.225869253,0.000526215,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.015297767,-0.014315605,-0.067782164,-0.081270456,0.002497599,0.004814361,0.018973214,-0.027792658,0.000410591,-0.015448979,0.002852278,0.005248677,0.000000000
0.069154263,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,-0.032897949,-0.010681152,-0.055725098,-0.157779694,-0.034744263,-0.017623901,-0.105654716,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,0.000006797,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,0.001296997,3.758296967,-3.818158150,-1.315953255,0.226230621,0.007049561,0.000006797,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.001290200,-0.020034313,-0.058229208,-0.037972569,0.000462770,0.006523615,0.004344940,-0.029322445,0.008718103,0.024367794,0.000715269,0.006088189,0.000000000
0.079160690,-0.105654716,0.012080193,-0.358381271,0.020900726,0.863836288,0.029721260,0.078552246,0.033874512,-0.051696777,-0.066467285,-0.015609741,-0.033737183,-0.105654716,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,0.000006797,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,-0.021011353,3.794918060,-3.817120552,-1.332554817,0.233066559,0.020721436,0.000006797,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.021018150,0.016586781,-0.057191610,-0.054574132,0.007298708,0.020195490,-0.015967475,0.006487687,0.008671734,0.006903317,0.006712183,0.017564501,0.000000000
0.089170933,-0.106038094,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,-0.089298248,-0.041810989,-0.016784668,-0.192691803,0.051864624,-0.086109161,-0.106038094,0.012080193,-0.358381271,0.020900726,0.864219666,0.029721260,0.000006793,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,0.028793335,3.760128021,-3.811413765,-1.351750374,0.233066559,0.005767822,0.000006793,3.778331280,-3.759928942,-1.277980685,0.225767851,0.000525946,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.028786542,-0.018203259,-0.051484823,-0.073769689,0.007298708,0.005241876,0.030453495,-0.025472116,0.012940669,-0.011063015,0.006040965,0.002349799,0.000000000
