time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.003259659,-0.022050858,-0.035857201,0.030488014,0.008245468,-0.008628845,0.156433105,-0.029602051,-0.129581451,-0.109439850,0.027694702,0.006546021,-0.002876282,-0.018599510,-0.074706830,0.028953552,0.008245468,-0.008245468,-0.076482460,0.452706397,-0.349676553,0.066597495,-0.031180790,-0.001568528,-0.001815796,0.444038391,-0.244098663,0.032943726,0.001068115,0.013031006,0.000008896,0.422374308,-0.076354131,0.018782649,-0.017333439,-0.000020714,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.187045231,0.000000000,0.000000000,0.000000000,0.074666664,-0.008668005,0.105577890,-0.033653770,0.032248905,0.014599534,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009688616,-0.003259659,-0.022434235,-0.038541794,0.030871391,0.008245468,-0.008628845,0.063781738,0.006408691,-0.324283600,0.172550201,-0.023666382,0.028701782,-0.002876282,-0.018599510,-0.076954164,0.028953552,0.008245468,-0.008245468,-0.030156777,0.452634066,-0.223328060,-0.077589557,-0.004331579,-0.012643305,0.014785767,0.359809875,-0.223865509,0.028793335,-0.012176514,-0.027130127,0.000008895,0.438582152,-0.085981660,0.017315820,-0.016164770,-0.000017611,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.191243857,0.000000000,0.000000000,0.000000000,0.044942544,-0.092824191,-0.000537449,0.106382892,-0.007844934,-0.014486822,-0.014862060,-0.042078093,-0.053057669,0.070018331,-0.020046920,-0.014543178,0.000000000
0.019680262,-0.003643036,-0.022817612,-0.040459633,0.030488014,0.008245468,-0.008628845,-0.022155762,-0.116884232,-0.269229889,-0.067810059,-0.043807983,-0.011581421,-0.002876282,-0.018599510,-0.078504600,0.028953552,0.008245468,-0.008245468,0.014537170,0.535494924,-0.274389789,0.042461211,0.006906996,0.007501398,-0.013229370,0.348823547,-0.244098663,0.004928589,-0.012176514,-0.010467529,0.000008896,0.458071351,-0.098717883,0.015461260,-0.014996995,-0.000014510,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.194090039,0.000000000,0.000000000,0.000000000,-0.027766540,-0.186671376,0.030291126,-0.037532622,-0.019083510,-0.017968927,-0.058380763,-0.090616852,-0.014819396,-0.049264789,-0.020856997,-0.012016855,0.000000000
0.029732943,-0.003259659,-0.023200989,-0.041993141,0.030871391,0.008245468,-0.008628845,0.106750488,-0.069276810,0.143005371,0.062438965,-0.012588501,-0.023666382,-0.002876282,-0.018599510,-0.080058232,0.028953552,0.008245468,-0.008245468,-0.051641152,0.534088582,-0.578900814,-0.027481013,-0.006755440,0.013549050,-0.012710571,0.341499329,-0.248249054,0.016860962,0.006622314,0.004058838,0.000008895,0.478743523,-0.112574890,0.012368745,-0.013049691,-0.000009338,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.196902320,0.000000000,0.000000000,0.000000000,0.038930581,-0.192589253,0.330651761,0.044341975,0.013377755,-0.009490212,0.006237269,-0.072401047,0.214155929,0.024457356,0.008703201,-0.002653605,0.000000000
0.039719582,-0.003259659,-0.023968697,-0.043527603,0.030488014,0.008245468,-0.008628845,-0.032897949,0.017395020,-0.164493561,-0.012756348,-0.058914185,-0.062942505,-0.002876282,-0.018599510,-0.082453988,0.028953552,0.008245468,-0.008245468,0.018183067,0.510188282,-0.381215092,0.010605436,0.017185949,0.033189179,-0.002334595,0.306709290,-0.259662628,-0.001296997,-0.006195068,-0.018585205,0.000008895,0.494724452,-0.121987604,0.011132341,-0.012271143,-0.000007271,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.201163813,0.000000000,0.000000000,0.000000000,-0.020517661,-0.203478992,0.121552464,-0.011902433,-0.023381017,-0.051774384,-0.042568779,-0.066632628,0.004045306,-0.025429641,-0.022444457,-0.035950222,0.000000000
0.049685001,-0.003643036,-0.024352074,-0.045828819,0.030488014,0.008245468,-0.008628845,-0.043640137,-0.051576614,-0.353824615,-0.026184082,0.013595581,-0.063949585,-0.002876282,-0.018599510,-0.084896147,0.028953552,0.008245468,-0.008245468,0.025279356,0.580137432,-0.273001001,0.012991840,-0.016343961,0.033699955,-0.012191772,0.260932922,-0.252918243,0.055252075,-0.002349854,-0.017303467,0.000008894,0.528462589,-0.142481700,0.006804878,-0.009546171,-0.000000034,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.205417946,0.000000000,0.000000000,0.000000000,-0.037471129,-0.319204509,0.020082757,0.042260235,0.013994108,-0.051003422,-0.049601872,-0.151965121,-0.081187001,0.023944189,0.012442224,-0.029316050,0.000000000
0.059701920,-0.003259659,-0.024352074,-0.048512459,0.030488014,0.008245468,-0.008628845,-0.022155762,-0.064393997,-0.230289459,0.016784668,0.055892944,0.005538940,-0.002876282,-0.018599510,-0.086549908,0.028953552,0.008245468,-0.008245468,0.012811973,0.603122354,-0.365255107,-0.010348716,-0.036323807,-0.001041204,-0.001815796,0.306709290,-0.275226593,-0.044878006,-0.022003174,0.004486084,0.000008895,0.545038819,-0.152458534,0.004948697,-0.008377335,0.000003069,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.208249286,0.000000000,0.000000000,0.000000000,-0.014627768,-0.296413064,0.090028514,-0.034529290,0.014320633,0.005527288,-0.022935867,-0.110720294,-0.009635352,-0.045296003,0.010944642,0.023326851,0.000000000
0.069703102,-0.003259659,-0.024736404,-0.050430298,0.030488014,0.008245468,-0.008628845,0.065124512,-0.002746582,-0.096012115,0.031555176,0.012588501,-0.016616821,-0.002876282,-0.018599510,-0.088218018,0.028953552,0.008245468,-0.008245468,-0.030828164,0.591564953,-0.476336546,-0.020825055,-0.012725116,0.010041846,0.012710571,0.383613586,-0.363943100,0.001815796,-0.008331299,-0.001495361,0.000008895,0.562575638,-0.169072375,0.001857611,-0.006430866,0.000008238,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.211066186,0.000000000,0.000000000,0.000000000,0.043538736,-0.207951367,0.112393446,0.022640851,0.004393817,-0.011537207,0.030826808,-0.019476272,0.011138383,0.010389872,0.000890598,0.005479562,0.000000000
0.079681158,-0.003643036,-0.024736404,-0.052731514,0.030488014,0.007862091,-0.008628845,-0.024841309,0.035705566,-0.251773834,0.061096191,-0.005538940,0.042800903,-0.002876282,-0.018599510,-0.091680497,0.028953552,0.008245468,-0.008245468,0.015879942,0.602579594,-0.401187726,-0.039533790,0.000788888,-0.019659780,-0.014266968,0.403755188,-0.346303940,-0.005966187,0.010894775,-0.011322021,0.000008894,0.592816353,-0.191980317,-0.002080615,-0.003705779,0.000015474,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.216793135,0.000000000,0.000000000,0.000000000,-0.030146910,-0.198824406,0.054883786,0.033567603,0.010105887,0.008337759,-0.038096745,-0.009199387,-0.041218913,0.018948110,0.005869038,0.022537358,0.000000000
0.089698315,-0.003259659,-0.024736404,-0.055032730,0.030488014,0.007862091,-0.008628845,-0.116153717,-0.064393997,-0.199405670,0.014099121,-0.031723022,0.023666382,-0.002876282,-0.018599510,-0.093397833,0.028953552,0.008245468,-0.008245468,0.059810949,0.673680186,-0.456232919,-0.019746088,0.016217723,-0.010086315,0.014266968,0.537422180,-0.383657455,-0.034502029,-0.001922607,-0.016876221,0.000008894,0.613867164,-0.211923182,-0.005791449,-0.001368986,0.000021679,4.500000000,4.500000000,6.000000000,4.500000000,4.500000000,4.500000000,0.500000000,0.500000000,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.000000000,-0.219575837,0.000000000,0.000000000,0.000000000,-0.045543981,-0.136258006,0.072575463,-0.014755941,-0.018140330,-0.006789906,-0.048144435,0.048030311,-0.021174513,-0.026437891,-0.020139461,0.006668724,0.000000000
