time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6,contact_label
0.000000000,-0.017449379,-0.577361107,-1.342061996,0.022050858,0.005944252,0.022434235,-0.163150787,0.085756302,-0.004699707,-0.030212402,-0.007553101,0.036758423,-0.014764786,-0.561670303,-1.363236547,0.020133972,-0.023200989,-0.007862091,0.097691124,15.025211582,-6.110804006,-1.091804981,0.515896261,-0.198376394,0.012191772,15.123825073,-6.149676323,-1.149415970,0.497109413,-0.178378105,0.000008171,14.921444893,-5.980194092,-1.095409870,0.686991155,0.001780772,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.054670960,0.050709561,0.000000000,0.000000000,0.000000000,-0.085499352,0.098613491,-0.038872317,-0.057610989,-0.018786848,0.019998288,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009644270,-0.017449379,-0.577744484,-1.342061996,0.022050858,0.005944252,0.022434235,-0.063781738,-0.025939941,-0.031555176,0.081237793,0.015609741,0.039779663,-0.014764786,-0.561022699,-1.362614274,0.020133972,-0.023200989,-0.007862091,0.048006599,15.112705903,-6.082649846,-1.146622419,0.503741264,-0.199888567,-0.016342163,15.114669800,-6.160052299,-1.156679153,0.501381874,-0.206150055,0.000008171,14.923539162,-5.977379322,-1.094502211,0.686417580,0.001779219,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.053192146,0.052941535,0.000000000,0.000000000,0.000000000,-0.064348762,0.001963897,-0.077402453,-0.010056734,-0.002359390,-0.006261488,0.010575295,-0.048324797,-0.019265068,0.023777127,0.008213729,-0.013129888,0.000000000
0.019637346,-0.017449379,-0.577744484,-1.342061996,0.021667480,0.005944252,0.022434235,-0.034240723,0.002136230,0.047668457,-0.188663483,-0.035751343,-0.013595581,-0.014764786,-0.560602844,-1.362186551,0.020133972,-0.023200989,-0.007862091,0.033236092,15.096152929,-6.134059371,-1.009825349,0.529708683,-0.173200168,0.060958862,15.109176636,-6.133073807,-1.159791946,0.512063026,-0.174532890,0.000008171,14.923970222,-5.977787495,-1.094956040,0.686704457,0.001779996,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.052207068,0.054417830,0.000000000,0.000000000,0.000000000,0.027722771,0.013023706,0.000985564,-0.149966598,-0.017645657,-0.001332722,0.068431219,-0.024843325,0.039415300,-0.077421824,-0.004715025,-0.005467415,0.000000000
0.029635668,-0.017449379,-0.577744484,-1.342061996,0.021667480,0.005944252,0.022434235,0.038269043,-0.202335358,-0.008728027,-0.153751373,0.030715942,-0.014602661,-0.014764786,-0.560187459,-1.361743450,0.020133972,-0.023200989,-0.007862091,-0.003018791,15.241908838,-6.089997957,-1.027281404,0.496475041,-0.172696628,0.031387329,15.100021362,-6.135149002,-1.164462090,0.525307655,-0.183077812,0.000008171,14.923970222,-5.977787495,-1.094956040,0.686704457,0.001779996,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.051210955,0.055902213,0.000000000,0.000000000,0.000000000,0.034406120,-0.141887476,-0.045151045,-0.137180686,0.028832614,-0.010381184,0.056335926,-0.134815880,-0.005040982,-0.048476934,0.031322435,-0.010886908,0.000000000
0.039695740,-0.017449379,-0.577744484,-1.341678619,0.022050858,0.005944252,0.022050858,0.065124512,-0.112611771,-0.039611816,-0.089298248,-0.027694702,-0.071002960,-0.014764786,-0.559385777,-1.360827565,0.020133972,-0.023200989,-0.007862091,-0.016446526,15.183692931,-6.061653754,-1.061353564,0.525393486,-0.142196216,0.066146851,15.081710815,-6.135667801,-1.150453568,0.507790565,-0.177096367,0.000008171,14.923539162,-5.977378368,-1.094501376,0.686417580,0.001779996,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.049222674,0.058839872,0.000000000,0.000000000,0.000000000,0.082593376,-0.101982115,-0.074014047,-0.089100003,-0.017602921,-0.034900151,0.083618546,-0.075928416,-0.027123187,-0.000317001,-0.012090480,-0.028324699,0.000000000
0.049636126,-0.017449379,-0.577744484,-1.341678619,0.021667480,0.005560875,0.022434235,-0.015441895,0.055236816,-0.034240723,0.096008301,-0.002517700,-0.050857544,-0.014764786,-0.558995783,-1.360350728,0.020133972,-0.023200989,-0.007862091,0.023836678,15.068617990,-6.060573079,-1.151707411,0.515105247,-0.154569963,0.000778198,15.090866089,-6.135667801,-1.148378372,0.506508827,-0.164278984,0.000008171,14.923539162,-5.977379322,-1.094502211,0.686417580,0.001779219,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.048221420,0.060306583,0.000000000,0.000000000,0.000000000,-0.023058479,0.022248099,-0.075094722,0.003329039,-0.008596420,-0.009709021,-0.018361092,0.040251499,-0.023503219,0.076760034,-0.002569983,-0.002611308,0.000000000
0.059633970,-0.017449379,-0.577744484,-1.342061996,0.021667480,0.005560875,0.022434235,0.078552246,-0.082704544,-0.031555176,-0.003356934,-0.007553101,-0.023666382,-0.014764786,-0.558614194,-1.359862685,0.020133972,-0.023200989,-0.007862091,-0.023160393,15.167686943,-6.054609393,-1.102191806,0.517911315,-0.168164764,-0.002853394,15.114669800,-6.145525932,-1.172244072,0.510781288,-0.180941582,0.000008171,14.923698425,-5.977529526,-1.094669223,0.686705947,0.001780000,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.047218602,0.061767172,0.000000000,0.000000000,0.000000000,0.020306999,-0.053017143,-0.090916539,-0.070052266,-0.007130027,-0.012776818,0.021432332,-0.030011780,-0.033707173,0.002896053,-0.000945934,-0.004867804,0.000000000
0.069636583,-0.017449379,-0.577744484,-1.341678619,0.022050858,0.005560875,0.022434235,-0.113468170,0.013732910,0.046325684,-0.020812988,0.014602661,-0.026687622,-0.014764786,-0.558056474,-1.359108090,0.020133972,-0.023200989,-0.007862091,0.072849815,15.100612579,-6.101811158,-1.094855905,0.506259680,-0.166655697,0.035018921,15.136642456,-6.112321854,-1.161867142,0.511208534,-0.186495781,0.000008171,14.920725822,-5.974713326,-1.093761086,0.686132193,0.001778446,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.045708161,0.063951306,0.000000000,0.000000000,0.000000000,-0.037830895,0.036029877,-0.010510696,-0.067011237,0.004948854,-0.019840084,-0.032117367,0.051655835,0.040861336,0.005194947,0.009741329,-0.010439686,0.000000000
0.079637527,-0.017449379,-0.578127861,-1.341678619,0.021667480,0.005560875,0.022434235,0.051696777,-0.156557083,0.000671387,-0.161808014,-0.033737183,-0.071002960,-0.014764786,-0.557692587,-1.358587384,0.020133972,-0.023200989,-0.007862091,-0.009732658,15.225082155,-6.064666054,-1.022058129,0.530429602,-0.144498028,0.040206909,15.123825073,-6.108690262,-1.160829544,0.522316933,-0.171542168,0.000008171,14.920725822,-5.974713326,-1.093761086,0.686132193,0.001778446,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.044691697,0.065410517,0.000000000,0.000000000,0.000000000,0.049939567,-0.101257082,-0.044024208,-0.138771415,-0.008112669,-0.027044140,0.049469418,-0.076116555,0.006531399,-0.059169094,-0.002951284,-0.015683326,0.000000000
0.089645624,-0.017449379,-0.577744484,-1.341678619,0.022050858,0.005560875,0.022434235,0.061096191,0.035705566,0.016784668,-0.000671387,-0.001510620,-0.019638062,-0.014764786,-0.557167768,-1.357793093,0.020133972,-0.023200989,-0.007862091,-0.014432365,15.090570912,-6.068081862,-1.104926705,0.514316320,-0.170180477,0.035018921,15.131149292,-6.087938309,-1.166537285,0.538979530,-0.168978691,0.000008171,14.920725822,-5.974713326,-1.093761086,0.686132193,0.001778446,6.000000000,8.000000000,8.000000000,6.000000000,6.000000000,6.000000000,0.500000000,0.699999988,0.699999988,0.500000000,0.500000000,0.500000000,0.000000000,0.043178946,0.067566454,0.000000000,0.000000000,0.000000000,0.049451286,0.040578380,-0.019856446,-0.061610579,0.024663210,0.001201786,0.044083023,0.059147017,0.027629245,0.016192567,0.026842135,0.011306340,0.000000000
