time,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,q_des1,q_des2,q_des3,q_des4,q_des5,q_des6,tau_cmd1,tau_cmd2,tau_cmd3,tau_cmd4,tau_cmd5,tau_cmd6,tau_meas1,tau_meas2,tau_meas3,tau_meas4,tau_meas5,tau_meas6,tau_ff1,tau_ff2,tau_ff3,tau_ff4,tau_ff5,tau_ff6,kp1,kp2,kp3,kp4,kp5,kp6,kd1,kd2,kd3,kd4,kd5,kd6,qdot_des1,qdot_des2,qdot_des3,qdot_des4,qdot_des5,qdot_des6,tau_residual1,tau_residual2,tau_residual3,tau_residual4,tau_residual5,tau_residual6,tau_residual_corrected1,tau_residual_corrected2,tau_residual_corrected3,tau_residual_corrected4,tau_residual_corrected5,tau_residual_corrected6
0.000000000,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.053039551,-0.050355911,-0.124210358,-0.015441895,-0.039779663,0.031723022,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,-0.005966187,17.128868103,-4.686640739,-1.644358635,0.113862991,0.004486084,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.005973649,-0.024286270,-0.057765007,-0.053789258,-0.001783893,0.004172980,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
0.009728432,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,-0.003356934,0.016784668,0.002014160,-0.014099121,0.007553101,0.050857544,0.011696815,-0.890681267,-1.350499153,0.003643036,1.308696747,-0.001726151,0.000007463,17.152256012,-4.631625175,-1.590868354,0.115902975,0.000313783,0.003890991,17.161827087,-4.687678337,-1.653178215,0.129243851,0.000213623,0.000007463,17.152256012,-4.631625175,-1.590868354,0.115902975,0.000313783,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.003883528,0.009571075,-0.056053162,-0.062309861,0.013340876,-0.000100160,0.004928588,0.016928673,0.000855923,-0.004260302,0.007562384,-0.002136570
0.020042181,0.011696815,-0.891064644,-1.350499153,0.003643036,1.308696747,-0.002109528,0.053039551,-0.017395020,0.014099121,-0.097354889,-0.026687622,-0.074024200,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,-0.041765213,17.163658142,-4.721919060,-1.713359833,0.120698929,0.002777100,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.041772675,0.010503769,-0.093043327,-0.122790456,0.005052045,0.002463996,-0.027151743,0.011907578,-0.024089495,-0.043160597,-0.000484298,0.000285057
0.029770613,0.011696815,-0.891064644,-1.350499153,0.003643036,1.308696747,-0.001726151,0.108093262,0.099184036,-0.042297363,0.063781738,-0.001510620,-0.015609741,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.008560181,17.123374939,-4.699091911,-1.642283440,0.115144730,-0.033539772,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.008552718,-0.029779434,-0.070216179,-0.051714063,-0.000502154,-0.033852876,0.017380238,-0.021281719,-0.000946760,0.020936847,-0.004528873,-0.027023861
0.039742708,0.011696815,-0.890681267,-1.350499153,0.003643036,1.308696747,-0.001726151,0.105407715,0.179140091,-0.118839264,-0.069152832,-0.008560181,0.052871704,0.011696815,-0.891064644,-1.350499153,0.003643036,1.308696747,-0.001726151,0.000007463,17.153068542,-4.628794193,-1.590478897,0.115812406,0.000313543,0.000259399,17.149009705,-4.702723503,-1.649027824,0.121553421,-0.013885498,0.000007463,17.153068542,-4.628794193,-1.590478897,0.115812406,0.000313543,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000251936,-0.004058838,-0.073929310,-0.058548927,0.005741015,-0.014199041,0.007263564,0.003551102,-0.003727913,0.011281586,0.001371437,-0.005896021
0.049739122,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,-0.073181152,-0.083925247,-0.000671387,-0.089298248,0.004531860,0.057907104,0.011696815,-0.891064644,-1.350499153,0.004026413,1.308696747,-0.001726151,0.000007463,17.152698517,-4.628443241,-1.590089202,0.115721822,0.000313304,0.005966187,17.192955017,-4.700129509,-1.683787346,0.115999222,-0.001495361,0.000007463,17.152698517,-4.628443241,-1.590089202,0.115721822,0.000313304,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005958723,0.040256500,-0.071686268,-0.093698144,0.000277400,-0.001808665,0.010808626,0.039888700,-0.001237392,-0.019889692,-0.003410148,0.005411962
0.059735060,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,-0.085266113,-0.082094193,0.038269043,-0.015441895,0.014602661,0.035751343,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.019973755,17.150840759,-4.705317497,-1.656291008,0.110445023,-0.002349854,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.019966293,-0.002313614,-0.076441765,-0.065721631,-0.005201861,-0.002662957,0.021271025,-0.002298355,-0.005136762,0.006931560,-0.007619494,0.003906575
0.069745779,0.011696815,-0.891064644,-1.350115776,0.003643036,1.309080124,-0.001726151,-0.061096191,0.015563965,0.211490631,0.110778809,-0.016616821,0.020645142,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,-0.009078979,17.163658142,-4.695460320,-1.661997795,0.109590530,-0.004913330,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.009086442,0.010503769,-0.066584587,-0.071428418,-0.006056353,-0.005226434,-0.006808996,0.009204149,0.004130363,0.001071677,-0.007414738,0.001175211
0.079778671,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.038269043,-0.072328568,-0.004699707,-0.039611816,-0.060928345,-0.007553101,0.011696815,-0.891064644,-1.350499153,0.003643036,1.309080124,-0.001726151,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,-0.036577225,17.156333923,-4.703242302,-1.644358635,0.110872269,-0.007049561,0.000007462,17.153154373,-4.628875732,-1.590569377,0.115646884,0.000313104,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.036584687,0.003179550,-0.074366570,-0.053789258,-0.004774615,-0.007362664,-0.030495325,0.001671049,-0.003245884,0.016631855,-0.005451555,-0.000854240
0.089770079,0.011696815,-0.891064644,-1.350499153,0.004026413,1.309080124,-0.001726151,-0.043640137,0.027770996,-0.125553131,0.098693848,-0.052871704,0.017623901,0.011696815,-0.891064644,-1.350499153,0.004026413,1.309080124,-0.001726151,0.000007462,17.152784348,-4.628524780,-1.590179682,0.115556426,0.000312865,-0.021530151,17.138023376,-4.688197136,-1.650584221,0.118989944,-0.013458252,0.000007462,17.152784348,-4.628524780,-1.590179682,0.115556426,0.000312865,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,-0.021537614,-0.014760971,-0.059672356,-0.060404539,0.003433518,-0.013771117,-0.013903427,-0.014642525,0.010303497,0.009014916,0.002480920,-0.006536423
